"Date","Match","Result","Score","Competition"
"02 Jun 2008","Iran v United Arab Emirates","D","0-0","FIFA World Cup"
"07 Jun 2008","United Arab Emirates v Iran","W","0-1","FIFA World Cup"
"19 Nov 2008","United Arab Emirates v Iran","D","1-1","FIFA World Cup"
"10 Jun 2009","Iran v United Arab Emirates","W","1-0","FIFA World Cup"
"19 Jan 2011","United Arab Emirates v Iran","W","0-3","AFC Asian Cup"
"19 Jan 2015","Iran v United Arab Emirates","W","1-0","AFC Asian Cup"
"04 Feb 2003","Iran v Uruguay","D","1-1","Carlsberg Cup"
"21 Jun 1998","USA v Iran","W","1-2","FIFA World Cup"
"16 Jan 2000","USA v Iran","D","1-1","International Friendly"
"14 Mar 1969","USSR v Iran","L","2-0","Vanskap (Friendship)"
"06 Sep 1978","Iran v USSR","L","0-1","International Friendly"
"06 Oct 1978","Iran v USSR","L","0-1","International Friendly"
"28 Jan 1985","Iran v USSR","L","0-2","Nehru Cup"
"14 Dec 1998","Iran v Uzbekistan","W","4-0","Asian Games"
"05 Jul 2002","Iran v Uzbekistan","D","0-0","International Friendly"
"12 Jul 2002","Iran v Uzbekistan","D","0-0","International Friendly"
"11 Jul 2007","Iran v Uzbekistan","W","2-1","AFC Asian Cup"
"05 Sep 2009","Uzbekistan v Iran","D","0-0","International Friendly"
"03 Jun 2012","Uzbekistan v Iran","W","0-1","FIFA World Cup"
"14 Nov 2012","Iran v Uzbekistan","L","0-1","FIFA World Cup"
"11 Jun 2015","Uzbekistan v Iran","W","0-1","International Friendly"
"06 Oct 2016","Uzbekistan v Iran","W","0-1","FIFA World Cup"
"03 Mar 2002","Iran v Venezuela","W","1-0","International Friendly"
"18 Apr 1978","Iran v Wales","L","0-1","International Friendly"
"05 Apr 1978","Iran v Yugoslavia","D","0-0","International Friendly"
"20 Jan 1985","Iran v Yugoslavia","L","1-3","Nehru Cup"
"14 Jun 1998","Yugoslavia v Iran","L","1-0","FIFA World Cup"
"25 May 2008","Iran v Zambia","W","3-2","International Friendly"
"15 Aug 1973","Algeria v Iraq","D","0-0","Palestine Cup"
"25 Aug 1973","Algeria v Iraq","L","0-0","Palestine Cup"
"22 Feb 1978","Iraq v Algeria","W","3-0","International Friendly"
"23 Feb 1978","Iraq v Algeria","W","1-0","International Friendly"
"02 Jul 1978","Algeria v Iraq","D","1-1","International Friendly"
"31 Jul 1983","Iraq v Algeria","W","4-2","Palestine Cup"
"15 Oct 1984","Iraq v Argentina","W","2-0","Merlion Cup"
"11 Mar 1973","Australia v Iraq","L","3-1","FIFA World Cup"
"18 Mar 1973","Australia v Iraq","D","0-0","FIFA World Cup"
"26 Oct 1984","Iraq v Australia","W","1-1","Merlion Cup"
"26 Mar 2005","Australia v Iraq","L","2-1","International Friendly"
"13 Jul 2007","Iraq v Australia","W","3-1","AFC Asian Cup"
"01 Jun 2008","Australia v Iraq","L","1-0","FIFA World Cup"
"07 Jun 2008","Iraq v Australia","W","1-0","FIFA World Cup"
"22 Jan 2011","Australia v Iraq","L","1-0","AFC Asian Cup"
"16 Oct 2012","Iraq v Australia","L","1-2","FIFA World Cup"
"18 Jun 2013","Australia v Iraq","L","1-0","FIFA World Cup"
"01 Sep 2016","Australia v Iraq","L","2-0","FIFA World Cup"
"05 May 1966","Iraq v Bahrain","W","10-1","Arab Cup"
"29 Mar 1976","Iraq v Bahrain","W","4-1","Gulf Cup"
"27 Apr 1977","Iraq v Bahrain","W","3-0","Asian Games"
"23 Mar 1979","Iraq v Bahrain","W","4-0","Gulf Cup"
"25 Mar 1981","Iraq v Bahrain","W","2-0","FIFA World Cup"
"22 Mar 1982","Iraq v Bahrain","D","0-0","Gulf Cup"
"20 Mar 1984","Bahrain v Iraq","W","0-1","Gulf Cup"
"04 Jul 1985","Bahrain v Iraq","D","1-1","Arab Cup"
"12 Jul 1985","Iraq v Bahrain","W","1-0","Arab Cup"
"22 Mar 1986","Bahrain v Iraq","D","0-0","Gulf Cup"
"18 Mar 1988","Iraq v Bahrain","W","1-0","Gulf Cup"
"26 Feb 1990","Iraq v Bahrain","W","1-0","Gulf Cup"
"19 Aug 1999","Bahrain v Iraq","W","0-2","Pan Arab Games"
"23 Aug 2001","Bahrain v Iraq","L","2-0","FIFA World Cup"
"28 Sep 2001","Iraq v Bahrain","W","1-0","FIFA World Cup"
"23 Nov 2002","Bahrain v Iraq","D","2-2","International Friendly"
"08 Oct 2003","Bahrain v Iraq","W","1-5","AFC Asian Cup"
"24 Oct 2003","Bahrain v Iraq","L","1-0","AFC Asian Cup"
"12 Dec 2003","Bahrain v Iraq","D","2-2","Bahrain Tournament"
"07 Aug 2005","Bahrain v Iraq","D","2-2","International Friendly"
"21 Jan 2007","Bahrain v Iraq","D","1-1","Gulf Cup"
"04 Jan 2009","Bahrain v Iraq","L","3-1","Gulf Cup"
"26 Nov 2010","Bahrain v Iraq","W","2-3","Gulf Cup"
"13 Dec 2011","Bahrain v Iraq","L","3-0","International Friendly"
"03 Dec 2012","Bahrain v Iraq","D","0-0","International Friendly"
"15 Jan 2013","Bahrain v Iraq","W","1-1","Gulf Cup"
"08 Jun 1986","Belgium v Iraq","L","2-1","FIFA World Cup"
"11 Oct 2012","Brazil v Iraq","L","6-0","International Friendly"
"08 Feb 1982","Iraq v Bulgaria","W","2-1","International Friendly"
"11 Feb 1982","Iraq v Bulgaria","D","2-2","International Friendly"
"25 Jul 1995","Iraq v Bulgaria","W","1-0","Merdeka Tournament"
"09 Jun 1985","Canada v Iraq","W","1-6","Presidents Cup"
"06 Sep 1974","Iraq v China PR","W","1-0","Asian Games"
"09 Jun 1976","China PR v Iraq","L","1-0","AFC Asian Cup"
"12 Dec 1978","China PR v Iraq","W","0-2","Asian Games"
"20 Dec 1978","China PR v Iraq","L","1-0","Asian Games"
"24 Aug 1980","China PR v Iraq","D","1-1","International Friendly"
"30 May 1993","Iraq v China PR","W","1-0","FIFA World Cup"
"20 Jun 1993","China PR v Iraq","L","2-1","FIFA World Cup"
"30 Mar 1997","Iraq v China PR","W","2-0","Nehru Gold Cup"
"02 Sep 2000","China PR v Iraq","L","4-1","Shanghai Four Nations Tournament"
"03 Sep 2000","China PR v Iraq","L","4-1","Shanghai Four Nations Tournament"
"30 Jul 2004","China PR v Iraq","L","3-0","AFC Asian Cup"
"01 Mar 2006","Iraq v China PR","W","2-1","AFC Asian Cup"
"15 Nov 2006","China PR v Iraq","D","1-1","AFC Asian Cup"
"06 Feb 2008","Iraq v China PR","D","1-1","FIFA World Cup"
"14 Jun 2008","China PR v Iraq","W","1-2","FIFA World Cup"
"11 Oct 2011","China PR v Iraq","W","0-1","FIFA World Cup"
"11 Nov 2011","Iraq v China PR","W","1-0","FIFA World Cup"
"22 Mar 2013","China PR v Iraq","L","1-0","AFC Asian Cup"
"05 Mar 2014","Iraq v China PR","W","3-1","AFC Asian Cup"
"31 Jan 1986","Iraq v Denmark","L","0-2","A v Under-21"
"05 Feb 1990","Iraq v Denmark","L","1-2","A v Under-21"
"08 Feb 1990","Iraq v Denmark","W","2-1","A v Under-21"
"13 Jan 1972","Iraq v Egypt","L","1-3","International Friendly"
"28 Dec 1975","Iraq v Egypt","L","0-1","International Friendly"
"31 Jul 1983","Iraq v Egypt","D","1-1","Palestine Cup"
"27 Feb 1984","Egypt v Iraq","W","1-2","International Friendly"
"17 Jul 1988","Egypt v Iraq","D","0-0","Arab Cup"
"18 Dec 2003","Egypt v Iraq","L","2-0","Bahrain Tournament"
"17 Apr 2012","Egypt v Iraq","D","0-0","International Friendly"
"27 Jun 2012","Iraq v Egypt","W","2-1","International Friendly"
"30 Oct 1999","Iraq v Estonia","D","1-1","Friendship Tounament (UAE)"
"05 Feb 1979","Iraq v Finland","W","1-0","International Friendly"
"07 Feb 1979","Iraq v Finland","W","2-0","International Friendly"
"22 Aug 1981","Iraq v Ghana","W","4-0","*"
"05 Apr 1997","Iraq v Ghana","W","1-0","Nehru Gold Cup"
"02 Aug 1995","Iraq v Hungary","W","2-0","Merdeka Tournament"
"30 May 1962","Iran v Iraq","D","1-1","International Friendly"
"07 Mar 1969","Iran v Iraq","L","2-1","Vanskap (Friendship)"
"30 Apr 1972","Iran v Iraq","L","3-0","AFC Asian Cup"
"13 Sep 1974","Iran v Iraq","L","1-0","Asian Games"
"31 May 1976","Iran v Iraq","L","2-0","AFC Asian Cup"
"05 Nov 1989","Iraq v Iran","D","0-0","Islamic Peace"
"22 Oct 1993","Iraq v Iran","W","2-1","FIFA World Cup"
"05 Dec 1996","Iran v Iraq","W","1-2","AFC Asian Cup"
"18 Oct 2000","Iran v Iraq","L","1-0","AFC Asian Cup"
"07 Sep 2001","Iraq v Iran","L","1-2","FIFA World Cup"
"12 Oct 2001","Iran v Iraq","L","2-1","FIFA World Cup"
"05 Sep 2002","Iraq v Iran","D","0-0","West Asian Football Federation Championship"
"13 Aug 2003","Iran v Iraq","W","0-1","LG Middle East / Africa Peace Cup"
"26 Jul 2006","Iran v Iraq","D","0-0","West Asian Football Federation Championship"
"04 Oct 2006","Iran v Iraq","L","2-0","LG Middle East / Africa Peace Cup"
"16 Jun 2007","Iran v Iraq","D","0-0","West Asian Football Federation Championship"
"24 Jun 2007","Iraq v Iran","L","1-2","West Asian Football Federation Championship"
"01 Oct 2010","Iran v Iraq","L","2-1","International Friendly"
"11 Jan 2011","Iraq v Iran","L","1-2","AFC Asian Cup"
"04 Jan 2015","Iran v Iraq","L","1-0","International Friendly"
"23 Jan 2015","Iran v Iraq","W","3-3","AFC Asian Cup"
"13 Jul 1978","Iraq v Japan","D","0-0","Merdeka Tournament"
"18 Sep 1981","Iraq v Japan","W","2-0","Merdeka Tournament"
"28 Nov 1982","Iraq v Japan","W","1-0","Asian Games"
"28 Oct 1993","Japan v Iraq","D","2-2","FIFA World Cup"
"24 Oct 2000","Japan v Iraq","L","4-1","AFC Asian Cup"
"12 Feb 2004","Japan v Iraq","L","2-0","International Friendly"
"11 Sep 2012","Japan v Iraq","L","1-0","FIFA World Cup"
"11 Jun 2013","Iraq v Japan","L","0-1","FIFA World Cup"
"16 Jan 2015","Iraq v Japan","L","0-1","AFC Asian Cup"
"11 Jun 2015","Japan v Iraq","L","4-0","International Friendly"
"06 Oct 2016","Japan v Iraq","L","2-1","FIFA World Cup"
"04 Sep 1974","Iraq v Korea DPR","W","1-0","Asian Games"
"27 Feb 1978","Iraq v Korea DPR","W","1-0","International Friendly"
"17 Dec 1978","Iraq v Korea DPR","L","0-1","Asian Games"
"15 Oct 1993","Korea DPR v Iraq","L","3-2","FIFA World Cup"
"19 Jan 2011","Iraq v Korea DPR","W","1-0","AFC Asian Cup"
"26 Mar 2011","Korea DPR v Iraq","W","0-2","International Friendly"
"21 Feb 2014","Iraq v Korea DPR","W","2-0","International Friendly"
"07 May 1972","Korea Republic v Iraq","D","0-0","AFC Asian Cup"
"09 Sep 1974","Iraq v Korea Republic","D","1-1","Asian Games"
"28 Jul 1977","Iraq v Korea Republic","D","1-1","Merdeka Tournament"
"31 Jul 1977","Korea Republic v Iraq","L","1-0","Merdeka Tournament"
"22 Jul 1978","Korea Republic v Iraq","L","2-0","Merdeka Tournament"
"29 Jul 1978","Iraq v Korea Republic","L","0-2","Merdeka Tournament"
"13 Sep 1981","Iraq v Korea Republic","D","1-1","Merdeka Tournament"
"07 Mar 1982","Iraq v Korea Republic","W","3-0","International Friendly"
"18 Oct 1984","Iraq v Korea Republic","W","3-0","Merlion Cup"
"28 Oct 1984","Iraq v Korea Republic","W","2-1","Merlion Cup"
"13 Jun 1985","Korea Republic v Iraq","L","1-0","Presidents Cup"
"15 Jun 1985","Korea Republic v Iraq","L","2-0","Presidents Cup"
"18 Jun 1988","Korea Republic v Iraq","W","0-2","Presidents Cup"
"15 Feb 1990","Iraq v Korea Republic","D","0-0","International Friendly"
"25 Apr 1993","Korea Republic v Iraq","D","1-1","International Friendly"
"28 Apr 1993","Korea Republic v Iraq","D","2-2","International Friendly"
"19 Oct 1993","Iraq v Korea Republic","D","2-2","FIFA World Cup"
"19 Jul 1995","Korea Republic v Iraq","D","2-2","Merdeka Tournament"
"29 Jun 2007","Korea Republic v Iraq","L","3-0","International Friendly"
"25 Jul 2007","Iraq v Korea Republic","W","0-0","AFC Asian Cup"
"28 Mar 2009","Korea Republic v Iraq","L","2-1","International Friendly"
"26 Jan 2015","Korea Republic v Iraq","L","2-0","AFC Asian Cup"
"11 Jun 1986","Mexico v Iraq","L","1-0","FIFA World Cup"
"15 Mar 1966","Morocco v Iraq","L","1-0","Arab Cup, Tripoli"
"19 Mar 1966","Morocco v Iraq","L","2-1","Arab Cup, Tripoli"
"22 Feb 1974","Iraq v Morocco","D","0-0","International Friendly"
"24 Feb 1974","Iraq v Morocco","D","0-0","International Friendly"
"09 Dec 1977","Iraq v Morocco","W","3-0","International Friendly"
"11 Dec 1977","Iraq v Morocco","W","3-0","International Friendly"
"25 Dec 1977","Morocco v Iraq","D","0-0","International Friendly"
"08 Mar 1981","Morocco v Iraq","D","1-1","International Friendly"
"18 Aug 1985","Morocco v Iraq","W","0-1","Pan Arab Games"
"03 Jul 2012","Morocco v Iraq","L","2-1","International Friendly"
"13 Mar 1973","Iraq v New Zealand","W","2-0","FIFA World Cup"
"24 Mar 1973","Iraq v New Zealand","W","4-0","FIFA World Cup"
"20 Jun 2009","Iraq v New Zealand","D","0-0","FIFA Confederations Cup"
"27 Mar 1976","Iraq v Oman","W","4-0","Gulf Cup"
"06 Apr 1979","Iraq v Oman","W","7-0","Gulf Cup"
"20 Mar 1982","Oman v Iraq","W","0-4","Gulf Cup"
"11 Mar 1984","Oman v Iraq","W","1-2","Gulf Cup"
"06 Apr 1986","Oman v Iraq","W","2-3","Gulf Cup"
"21 Sep 1986","Iraq v Oman","W","4-0","Asian Games"
"04 Mar 1988","Iraq v Oman","D","1-1","Gulf Cup"
"06 Jan 1989","Oman v Iraq","D","1-1","FIFA World Cup"
"27 Jan 1989","Iraq v Oman","W","3-0","FIFA World Cup"
"05 Aug 1999","Iraq v Oman","W","2-0","AFC Asian Cup"
"23 Aug 1999","Oman v Iraq","W","0-3","Pan Arab Games"
"29 Jul 2001","Oman v Iraq","L","1-0","International Friendly"
"11 Jan 2002","Iraq v Oman","W","2-0","International Friendly"
"07 Oct 2004","Oman v Iraq","L","1-0","International Friendly"
"13 Feb 2006","Oman v Iraq","L","1-0","International Friendly"
"16 Jul 2007","Iraq v Oman","D","0-0","AFC Asian Cup"
"07 Jan 2009","Oman v Iraq","L","4-0","International Friendly"
"21 Sep 2010","Iraq v Oman","W","3-2","International Friendly"
"29 Nov 2010","Oman v Iraq","D","0-0","Gulf Cup"
"12 Jun 2012","Iraq v Oman","D","1-1","FIFA World Cup"
"18 Dec 2012","Oman v Iraq","W","0-2","International Friendly"
"04 Jun 2013","Oman v Iraq","L","1-0","FIFA World Cup"
"17 Nov 2014","Iraq v Oman","D","1-1","Gulf Cup"
"01 Sep 2002","Iraq v Palestine","W","2-0","West Asian Football Federation Championship"
"31 Mar 2004","Palestine v Iraq","D","1-1","FIFA World Cup"
"16 Nov 2004","Iraq v Palestine","W","4-1","FIFA World Cup"
"01 Dec 2005","Iraq v Palestine","W","4-0","West Asian Games"
"28 Jul 2006","Palestine v Iraq","D","0-0","West Asian Football Federation Championship"
"17 Aug 2006","Palestine v Iraq","W","0-3","AFC Asian Cup"
"06 Sep 2006","Iraq v Palestine","D","2-2","AFC Asian Cup"
"18 Jun 2007","Palestine v Iraq","W","0-1","West Asian Football Federation Championship"
"10 Jul 2009","Iraq v Palestine","W","3-0","International Friendly"
"13 Jul 2009","Iraq v Palestine","W","4-0","International Friendly"
"29 Sep 2010","Palestine v Iraq","W","0-3","International Friendly"
"20 Jan 2015","Iraq v Palestine","W","2-0","AFC Asian Cup"
"04 Jun 1986","Paraguay v Iraq","L","1-0","FIFA World Cup"
"04 Sep 2014","Iraq v Peru","L","0-2","International Friendly"
"14 Mar 1986","Iraq v Romania","D","1-1","International Friendly"
"17 Mar 1986","Iraq v Romania","D","0-0","International Friendly"
"01 Apr 1976","Saudi Arabia v Iraq","W","1-7","Gulf Cup"
"31 Aug 1976","Saudi Arabia v Iraq","D","0-0","International Friendly"
"14 Dec 1978","Iraq v Saudi Arabia","D","1-1","Asian Games"
"08 Apr 1979","Iraq v Saudi Arabia","W","2-0","Gulf Cup"
"21 Mar 1981","Saudi Arabia v Iraq","L","1-0","FIFA World Cup"
"24 Mar 1982","Saudi Arabia v Iraq","D","0-0","Gulf Cup"
"01 Dec 1982","Iraq v Saudi Arabia","W","1-0","Asian Games"
"31 Jul 1983","Iraq v Saudi Arabia","W","1-0","Palestine Cup"
"17 Mar 1984","Saudi Arabia v Iraq","W","0-4","Gulf Cup"
"10 Jul 1985","Saudi Arabia v Iraq","W","2-3","Arab Cup"
"30 Mar 1986","Iraq v Saudi Arabia","L","1-2","Gulf Cup"
"01 Oct 1986","Saudi Arabia v Iraq","L","1-1","Asian Games"
"16 Mar 1988","Saudi Arabia v Iraq","W","0-2","Gulf Cup"
"15 Jul 1988","Iraq v Saudi Arabia","W","2-0","Arab Cup"
"24 Oct 1993","Iraq v Saudi Arabia","D","1-1","FIFA World Cup"
"08 Dec 1996","Iraq v Saudi Arabia","L","0-1","AFC Asian Cup"
"31 Aug 2001","Saudi Arabia v Iraq","L","1-0","FIFA World Cup"
"05 Oct 2001","Iraq v Saudi Arabia","L","1-2","FIFA World Cup"
"26 Jul 2004","Saudi Arabia v Iraq","W","1-2","AFC Asian Cup"
"05 Dec 2005","Saudi Arabia v Iraq","W","1-5","West Asian Games"
"08 Dec 2005","Iraq v Saudi Arabia","W","2-0","West Asian Games"
"15 Mar 2006","Saudi Arabia v Iraq","D","2-2","International Friendly"
"24 Jan 2007","Saudi Arabia v Iraq","L","1-0","Gulf Cup"
"29 Jul 2007","Iraq v Saudi Arabia","W","1-0","AFC Asian Cup"
"22 Mar 2009","Saudi Arabia v Iraq","D","0-0","International Friendly"
"28 Dec 2010","Saudi Arabia v Iraq","W","0-1","International Friendly"
"05 Jul 2012","Saudi Arabia v Iraq","W","0-1","International Friendly"
"06 Jan 2013","Saudi Arabia v Iraq","W","0-2","Gulf Cup"
"15 Oct 2013","Iraq v Saudi Arabia","L","0-2","AFC Asian Cup"
"15 Nov 2013","Saudi Arabia v Iraq","L","2-1","AFC Asian Cup"
"06 Sep 2016","Iraq v Saudi Arabia","L","1-2","FIFA World Cup"
"14 Jun 2009","South Africa v Iraq","D","0-0","FIFA Confederations Cup"
"17 Jun 2009","Spain v Iraq","L","1-0","FIFA Confederations Cup"
"23 Feb 1979","Iraq v Sweden","W","1-0","Unofficial Sweden"
"23 May 2004","Trinidad and Tobago v Iraq","L","2-0","International Friendly"
"21 Oct 1957","Tunisia v Iraq","L","4-2","Pan Arab Games"
"05 Jun 1960","Tunisia v Iraq","L","2-1","International Friendly"
"11 Mar 1966","Tunisia v Iraq","W","0-2","Arab Cup, Tripoli"
"23 Aug 1973","Tunisia v Iraq","L","2-0","Palestine Cup"
"09 Jun 1974","Tunisia v Iraq","L","2-1","International Friendly"
"25 Feb 1988","Tunisia v Iraq","W","0-2","International Friendly"
"09 Jul 1988","Iraq v Tunisia","D","1-1","Arab Cup"
"07 Feb 2001","Tunisia v Iraq","D","2-2","International Friendly"
"30 Dec 2012","Iraq v Tunisia","L","1-2","International Friendly"
"13 Mar 1969","Turkey v Iraq","L","1-0","Vanskap (Friendship)"
"08 Feb 1976","Iraq v Turkey","D","0-0","International Friendly"
"20 Aug 1973","United Arab Emirates v Iraq","W","1-3","Palestine Cup"
"06 Apr 1976","United Arab Emirates v Iraq","W","0-4","Gulf Cup"
"04 Apr 1979","Iraq v United Arab Emirates","W","5-0","Gulf Cup"
"30 Mar 1982","United Arab Emirates v Iraq","W","0-1","Gulf Cup"
"15 Mar 1984","United Arab Emirates v Iraq","D","0-0","Gulf Cup"
"20 Sep 1985","United Arab Emirates v Iraq","W","2-3","FIFA World Cup"
"27 Sep 1985","Iraq v United Arab Emirates","L","1-2","FIFA World Cup"
"24 Mar 1986","United Arab Emirates v Iraq","D","2-2","Gulf Cup"
"25 Sep 1986","United Arab Emirates v Iraq","L","2-1","Asian Games"
"11 Mar 1988","Iraq v United Arab Emirates","D","0-0","Gulf Cup"
"03 Mar 1990","United Arab Emirates v Iraq","D","2-2","Gulf Cup"
"15 Dec 1996","United Arab Emirates v Iraq","L","1-0","AFC Asian Cup"
"03 Nov 1999","United Arab Emirates v Iraq","D","2-2","Friendship Tounament (UAE)"
"02 Aug 2001","United Arab Emirates v Iraq","D","2-2","International Friendly"
"30 Jul 2006","Iraq v United Arab Emirates","D","0-0","West Asian Football Federation Championship"
"31 Jan 2008","United Arab Emirates v Iraq","W","0-1","International Friendly"
"27 Dec 2008","United Arab Emirates v Iraq","D","2-2","International Friendly"
"18 Nov 2009","United Arab Emirates v Iraq","W","0-1","International Friendly"
"23 Nov 2010","Iraq v United Arab Emirates","D","0-0","Gulf Cup"
"15 Jan 2011","United Arab Emirates v Iraq","W","0-1","AFC Asian Cup"
"18 Jan 2013","United Arab Emirates v Iraq","L","2-1","Gulf Cup"
"20 Nov 2014","United Arab Emirates v Iraq","L","2-0","International Friendly"
"30 Jan 2015","Iraq v United Arab Emirates","L","2-3","AFC Asian Cup"
"05 Mar 1969","USSR v Iraq","L","2-0","Vanskap (Friendship)"
"12 Apr 1997","Iraq v Uzbekistan","W","3-1","Nehru Gold Cup"
"01 Sep 2000","Iraq v Uzbekistan","W","3-1","Shanghai Four Nations Tournament"
"02 Sep 2000","Iraq v Uzbekistan","W","2-0","Shanghai Four Nations Tournament"
"18 Feb 2004","Uzbekistan v Iraq","D","1-1","FIFA World Cup"
"18 Jul 2004","Iraq v Uzbekistan","L","0-1","AFC Asian Cup"
"13 Oct 2004","Iraq v Uzbekistan","L","1-2","FIFA World Cup"
"02 Jul 2007","Iraq v Uzbekistan","L","0-2","International Friendly"
"25 Dec 2014","Uzbekistan v Iraq","L","1-0","International Friendly"
"28 Dec 2014","Iraq v Uzbekistan","D","0-0","International Friendly"
"28 Dec 2014","Uzbekistan v Iraq","L","1-0","International Friendly"
"05 Aug 1969","Israel v Argentina","W","1-0","Maccbah Games"
"20 Feb 1973","Israel v Argentina","D","1-1","International Friendly"
"04 May 1986","Israel v Argentina","L","2-7","International Friendly"
"22 May 1990","Israel v Argentina","L","1-2","International Friendly"
"31 May 1994","Israel v Argentina","L","0-3","International Friendly"
"15 Apr 1998","Israel v Argentina","W","2-1","International Friendly"
"12 Feb 2003","Israel v Armenia","W","2-0","International Friendly"
"04 Dec 1969","Israel v Australia","W","1-0","FIFA World Cup"
"14 Dec 1969","Australia v Israel","D","1-1","FIFA World Cup"
"08 Nov 1970","Israel v Australia","L","0-1","International Friendly"
"11 Nov 1971","Australia v Israel","D","2-2","International Friendly"
"14 Nov 1971","Australia v Israel","L","1-0","International Friendly"
"21 Nov 1971","Australia v Israel","W","1-3","International Friendly"
"28 May 1974","Israel v Australia","W","2-1","International Friendly"
"03 Nov 1976","Israel v Australia","D","1-1","International Friendly"
"12 Feb 1977","Australia v Israel","D","1-1","International Friendly"
"16 Feb 1977","Australia v Israel","D","1-1","International Friendly"
"02 Dec 1980","Israel v Australia","L","0-1","International Friendly"
"08 Oct 1985","Israel v Australia","L","1-2","FIFA World Cup"
"20 Oct 1985","Australia v Israel","D","1-1","FIFA World Cup"
"19 Mar 1989","Israel v Australia","D","1-1","FIFA World Cup"
"16 Apr 1989","Australia v Israel","D","1-1","FIFA World Cup"
"17 Oct 1962","Israel v Austria","D","1-1","A v B"
"23 Apr 1969","Israel v Austria","D","1-1","International Friendly"
"15 Dec 1976","Israel v Austria","L","1-3","International Friendly"
"30 Jan 1979","Israel v Austria","L","0-1","International Friendly"
"04 Feb 1981","Israel v Austria","W","1-0","International Friendly"
"28 Oct 1992","Austria v Israel","L","5-2","FIFA World Cup"
"27 Oct 1993","Israel v Austria","D","1-1","FIFA World Cup"
"05 Sep 1998","Austria v Israel","D","1-1","UEFA European Championship"
"06 Jun 1999","Israel v Austria","W","5-0","UEFA European Championship"
"28 Mar 2001","Austria v Israel","L","2-1","FIFA World Cup"
"27 Oct 2001","Israel v Austria","D","1-1","FIFA World Cup"
"09 May 1965","Belgium v Israel","L","1-0","FIFA World Cup"
"10 Nov 1965","Israel v Belgium","L","0-5","FIFA World Cup"
"10 Jan 1968","Israel v Belgium","L","0-2","International Friendly"
"15 Nov 1978","Israel v Belgium","W","1-0","International Friendly"
"19 Jan 1988","Israel v Belgium","L","2-3","International Friendly"
"31 Mar 2015","Israel v Belgium","L","0-1","UEFA European Championship"
"13 Oct 2015","Belgium v Israel","L","3-1","UEFA European Championship"
"11 Oct 2000","Israel v Bosnia and Herzegovina","W","3-1","FIFA World Cup"
"01 Sep 2001","Bosnia and Herzegovina v Israel","D","0-0","FIFA World Cup"
"16 Nov 2014","Israel v Bosnia and Herzegovina","W","3-0","UEFA European Championship"
"12 Jun 2015","Bosnia and Herzegovina v Israel","L","3-1","UEFA European Championship"
"19 May 1963","Israel v Brazil","L","0-5","International Friendly"
"01 Jun 1987","Israel v Brazil","L","0-4","International Friendly"
"18 May 1995","Israel v Brazil","L","1-2","International Friendly"
"13 Jun 1965","Bulgaria v Israel","L","4-0","FIFA World Cup"
"21 Nov 1965","Israel v Bulgaria","L","1-2","FIFA World Cup"
"02 Dec 1992","Israel v Bulgaria","L","0-2","FIFA World Cup"
"12 May 1993","Bulgaria v Israel","D","2-2","FIFA World Cup"
"01 Sep 1996","Israel v Bulgaria","W","2-1","FIFA World Cup"
"20 Aug 1997","Bulgaria v Israel","L","1-0","FIFA World Cup"
"15 Oct 1989","Colombia v Israel","L","1-0","FIFA World Cup"
"30 Oct 1989","Israel v Colombia","D","0-0","FIFA World Cup"
"01 Dec 1964","Israel v Denmark","L","0-1","International Friendly"
"26 Oct 1966","Denmark v Israel","L","3-1","International Friendly"
"03 Feb 1976","Israel v Denmark","L","0-1","International Friendly"
"08 Feb 1978","Israel v Denmark","W","2-0","International Friendly"
"13 Nov 1999","Israel v Denmark","L","0-5","UEFA European Championship"
"17 Nov 1999","Denmark v Israel","L","3-0","UEFA European Championship"
"17 Apr 2002","Denmark v Israel","L","3-1","International Friendly"
"01 Mar 2006","Israel v Denmark","L","0-2","International Friendly"
"22 May 1960","Israel v England","W","4-0","A v Under-23"
"09 Nov 1961","England v Israel","L","7-1","Under-23 v A"
"17 May 1964","Israel v England","L","0-4","A v Under-23"
"26 Feb 1986","Israel v England","L","1-2","International Friendly"
"17 Feb 1988","Israel v England","D","0-0","International Friendly"
"24 Mar 2007","Israel v England","D","0-0","UEFA European Championship"
"08 Sep 2007","England v Israel","L","3-0","UEFA European Championship"
"18 Jan 1999","Israel v Estonia","W","7-0","Tri Nation Tounament"
"02 Sep 2006","Estonia v Israel","W","0-1","UEFA European Championship"
"28 Mar 2007","Israel v Estonia","W","4-0","UEFA European Championship"
"06 Apr 1966","Israel v Finland","W","7-1","Fin Unofficial"
"08 May 1966","Finland v Israel","W","0-3","International Friendly"
"16 Jun 1993","Finland v Israel","D","0-0","FIFA World Cup"
"10 Nov 1993","Israel v Finland","L","1-3","FIFA World Cup"
"20 Aug 2008","Finland v Israel","L","2-0","International Friendly"
"06 Feb 2013","Israel v Finland","W","2-1","International Friendly"
"08 Oct 1957","Israel v France","L","4-5","A v B"
"27 Jan 1988","Israel v France","D","1-1","International Friendly"
"17 Feb 1993","Israel v France","L","0-4","FIFA World Cup"
"13 Oct 1993","France v Israel","W","2-3","FIFA World Cup"
"29 Mar 1995","Israel v France","D","0-0","UEFA European Championship"
"15 Nov 1995","France v Israel","L","2-0","UEFA European Championship"
"02 Apr 2003","Israel v France","L","1-2","UEFA European Championship"
