player_id,year,position,rating,pace,shoot,pass,dribble,defend,physical
42691,2010,ST,73,67 ,76 ,59 ,66 ,57 ,74 
13357,2010,CM,84,74 ,76 ,86 ,74 ,82 ,72 
35503,2010,CDM,56,61 ,40 ,54 ,51 ,61 ,60 
11560,2010,CAM,67,73 ,62 ,62 ,70 ,56 ,62 
27551,2010,RW,79,84 ,74 ,76 ,78 ,70 ,64 
29562,2010,LM,67,73 ,63 ,67 ,71 ,50 ,56 
4261,2010,CB,74,79 ,44 ,42 ,46 ,75 ,76 
42771,2010,CDM,71,66 ,56 ,74 ,66 ,74 ,71 
9950,2010,CB,61,52 ,34 ,44 ,31 ,67 ,68 
32335,2010,RM,78,78 ,80 ,83 ,84 ,49 ,30 
15863,2010,ST,76,66 ,76 ,59 ,76 ,68 ,83 
24267,2010,RB,68,62 ,38 ,62 ,62 ,69 ,63 
1084,2010,CB,53,42 ,27 ,39 ,35 ,58 ,58 
646,2010,CB,70,66 ,41 ,56 ,42 ,73 ,70 
14060,2010,CB,65,71 ,41 ,48 ,31 ,63 ,70 
26459,2010,ST,64,68 ,63 ,52 ,57 ,47 ,60 
24427,2010,ST,88,85 ,90 ,75 ,80 ,64 ,92 
10176,2010,ST,71,86 ,61 ,59 ,74 ,51 ,56 
18802,2010,CAM,78,83 ,74 ,80 ,84 ,54 ,59 
33482,2010,CDM,63,65 ,55 ,52 ,64 ,71 ,72 
8430,2010,RB,74,74 ,50 ,70 ,60 ,73 ,72 
32879,2010,CDM,67,67 ,63 ,66 ,57 ,62 ,60 
24070,2010,CDM,70,73 ,65 ,62 ,65 ,71 ,66 
41653,2010,ST,69,62 ,72 ,46 ,66 ,55 ,70 
24366,2010,CDM,86,70 ,85 ,90 ,75 ,85 ,70 
7917,2010,ST,77,75 ,72 ,69 ,73 ,65 ,82 
35660,2010,LM,80,85 ,66 ,80 ,75 ,74 ,76 
31391,2010,CB,69,53 ,59 ,61 ,47 ,71 ,80 
38801,2010,ST,70,67 ,71 ,39 ,71 ,58 ,75 
3478,2010,ST,63,65 ,58 ,43 ,67 ,50 ,63 
22525,2010,CM,59,63 ,51 ,51 ,63 ,64 ,64 
34164,2010,CM,74,72 ,64 ,75 ,77 ,70 ,64 
5785,2010,LM,74,81 ,63 ,71 ,69 ,69 ,63 
9770,2010,RM,64,69 ,54 ,62 ,53 ,61 ,50 
3243,2010,RB,71,70 ,46 ,66 ,60 ,70 ,70 
36686,2010,RB,60,63 ,34 ,55 ,47 ,59 ,59 
34553,2010,CAM,67,67 ,60 ,58 ,65 ,72 ,72 
4625,2010,CB,70,66 ,47 ,54 ,40 ,72 ,70 
32046,2010,LWB,76,79 ,59 ,74 ,70 ,72 ,72 
40275,2010,LM,72,67 ,71 ,70 ,68 ,70 ,76 
6271,2010,LF,89,77 ,89 ,89 ,95 ,56 ,67 
29979,2010,LB,75,77 ,70 ,65 ,61 ,72 ,67 
10270,2010,ST,66,83 ,60 ,54 ,67 ,41 ,36 
7301,2010,CAM,68,59 ,71 ,66 ,69 ,61 ,58 
36704,2010,CB,79,71 ,42 ,62 ,60 ,82 ,81 
38710,2010,CF,74,76 ,71 ,63 ,73 ,56 ,68 
33851,2010,LM,74,74 ,68 ,76 ,78 ,59 ,60 
25723,2010,CB,74,75 ,45 ,65 ,53 ,84 ,83 
40736,2010,ST,77,72 ,77 ,54 ,72 ,64 ,85 
27379,2010,CDM,73,75 ,63 ,66 ,69 ,76 ,64 
38673,2010,CB,74,67 ,45 ,49 ,39 ,78 ,86 
3075,2010,CAM,69,84 ,65 ,64 ,81 ,44 ,42 
20253,2010,CB,71,70 ,49 ,56 ,53 ,70 ,72 
40218,2010,CDM,74,70 ,62 ,72 ,68 ,80 ,78 
2961,2010,ST,60,57 ,62 ,40 ,55 ,62 ,70 
6475,2010,RB,73,74 ,57 ,66 ,70 ,71 ,66 
959,2010,LB,82,70 ,67 ,76 ,77 ,83 ,79 
33778,2010,CB,79,75 ,60 ,67 ,62 ,80 ,75 
30743,2010,CM,70,68 ,59 ,69 ,64 ,70 ,68 
12562,2010,CM,75,67 ,71 ,78 ,74 ,69 ,65 
7260,2010,CM,76,63 ,75 ,82 ,64 ,74 ,65 
1666,2010,RWB,77,75 ,60 ,73 ,73 ,75 ,80 
15945,2010,ST,76,79 ,70 ,63 ,74 ,59 ,79 
24985,2010,CF,61,78 ,55 ,21 ,71 ,42 ,55 
33399,2010,LB,68,63 ,41 ,44 ,43 ,70 ,70 
33879,2010,CB,64,66 ,20 ,44 ,47 ,65 ,64 
32950,2010,CB,74,73 ,52 ,68 ,61 ,73 ,62 
24528,2010,CB,70,70 ,55 ,52 ,61 ,69 ,72 
28216,2010,CM,74,75 ,69 ,74 ,71 ,64 ,68 
15543,2010,ST,76,76 ,72 ,58 ,75 ,64 ,84 
27395,2010,CB,67,62 ,59 ,54 ,55 ,66 ,70 
13599,2010,CB,60,63 ,14 ,43 ,31 ,62 ,68 
9912,2010,CB,67,57 ,30 ,54 ,35 ,71 ,76 
22248,2010,CB,75,74 ,46 ,68 ,67 ,74 ,72 
6783,2010,CB,78,78 ,32 ,44 ,52 ,81 ,84 
33535,2010,CB,73,65 ,51 ,43 ,47 ,77 ,84 
34198,2010,ST,75,69 ,75 ,55 ,69 ,68 ,85 
3560,2010,RM,88,89 ,89 ,80 ,86 ,56 ,75 
41334,2010,RB,80,75 ,49 ,72 ,65 ,81 ,86 
15972,2010,LM,83,83 ,80 ,82 ,90 ,58 ,65 
18308,2010,CM,68,72 ,55 ,65 ,60 ,71 ,70 
23239,2010,LM,80,79 ,77 ,83 ,78 ,65 ,60 
11482,2010,ST,75,75 ,72 ,55 ,73 ,59 ,77 
27402,2010,CAM,65,64 ,57 ,68 ,69 ,54 ,46 
27503,2010,ST,76,82 ,72 ,57 ,74 ,63 ,73 
40446,2010,LWB,80,82 ,75 ,78 ,75 ,76 ,69 
15286,2010,CB,73,67 ,45 ,59 ,48 ,75 ,70 
1607,2010,CDM,76,76 ,68 ,72 ,66 ,81 ,84 
24675,2010,CM,81,67 ,76 ,85 ,75 ,84 ,68 
32716,2010,ST,63,61 ,60 ,59 ,59 ,47 ,58 
22117,2010,LM,73,78 ,67 ,67 ,73 ,66 ,66 
4833,2010,CM,72,70 ,60 ,74 ,67 ,69 ,55 
29069,2010,CAM,71,61 ,72 ,74 ,67 ,61 ,56 
1022,2010,CDM,74,71 ,60 ,77 ,67 ,77 ,67 
31774,2010,ST,72,72 ,69 ,64 ,65 ,63 ,75 
22298,2010,CB,69,55 ,49 ,50 ,45 ,74 ,76 
19268,2010,CB,89,80 ,65 ,76 ,59 ,90 ,90 
2652,2010,RB,78,86 ,51 ,72 ,73 ,73 ,74 
3839,2010,ST,66,65 ,65 ,50 ,64 ,49 ,62 
4621,2010,?,64,49 ,38 ,41 ,38 ,69 ,77 
27316,2010,CF,75,82 ,67 ,69 ,78 ,51 ,66 
24830,2010,CDM,67,66 ,52 ,66 ,65 ,68 ,62 
6209,2010,CM,55,60 ,46 ,57 ,48 ,51 ,58 
20660,2010,CB,76,76 ,48 ,61 ,50 ,77 ,72 
39864,2010,CM,90,78 ,81 ,99 ,94 ,72 ,58 
5695,2010,CDM,67,62 ,58 ,64 ,61 ,71 ,71 
27301,2010,LB,70,73 ,51 ,61 ,61 ,67 ,61 
39727,2010,CB,57,55 ,20 ,33 ,25 ,62 ,62 
42325,2010,ST,92,94 ,93 ,67 ,88 ,64 ,85 
18734,2010,RF,76,81 ,71 ,71 ,76 ,58 ,65 
35909,2010,CM,67,62 ,63 ,67 ,63 ,64 ,54 
27690,2010,ST,68,71 ,60 ,62 ,69 ,54 ,70 
8380,2010,LB,71,71 ,38 ,63 ,60 ,71 ,69 
14729,2010,ST,69,77 ,63 ,45 ,69 ,46 ,68 
36184,2010,RM,73,68 ,69 ,71 ,73 ,70 ,52 
18994,2010,CF,73,78 ,64 ,66 ,79 ,63 ,66 
10473,2010,LB,76,87 ,71 ,67 ,66 ,72 ,52 
35557,2010,RWB,73,81 ,53 ,69 ,75 ,68 ,67 
14037,2010,RM,75,81 ,65 ,69 ,77 ,70 ,65 
7795,2010,RB,76,72 ,51 ,66 ,65 ,76 ,76 
42262,2010,ST,68,71 ,67 ,52 ,64 ,56 ,64 
1749,2010,ST,69,80 ,62 ,55 ,66 ,51 ,60 
20500,2010,RB,84,82 ,78 ,84 ,82 ,82 ,72 
9789,2010,ST,48,56 ,41 ,44 ,45 ,43 ,49 
33139,2010,CAM,71,80 ,70 ,59 ,81 ,59 ,72 
2813,2010,ST,75,74 ,73 ,61 ,68 ,57 ,82 
36404,2010,CF,74,80 ,67 ,69 ,83 ,50 ,51 
30205,2010,CB,61,55 ,36 ,38 ,38 ,65 ,66 
10733,2010,CDM,76,70 ,70 ,76 ,65 ,76 ,72 
788,2010,ST,75,74 ,70 ,69 ,72 ,61 ,79 
30655,2010,RB,80,88 ,52 ,70 ,69 ,77 ,68 
40567,2010,CF,92,87 ,92 ,86 ,90 ,74 ,76 
29372,2010,RM,80,87 ,69 ,73 ,86 ,52 ,62 
12567,2010,RB,78,78 ,61 ,72 ,65 ,76 ,73 
31396,2010,ST,65,70 ,62 ,43 ,58 ,57 ,73 
39766,2010,RB,68,65 ,38 ,63 ,57 ,68 ,66 
8093,2010,CB,77,71 ,33 ,40 ,44 ,77 ,86 
42945,2010,CB,55,44 ,44 ,50 ,37 ,58 ,60 
32850,2010,CB,75,72 ,44 ,70 ,53 ,75 ,79 
7874,2010,RM,77,84 ,68 ,74 ,74 ,68 ,62 
32649,2010,LB,69,74 ,42 ,61 ,61 ,66 ,58 
26994,2010,CM,67,66 ,66 ,63 ,63 ,64 ,62 
25719,2010,CB,77,77 ,40 ,62 ,62 ,78 ,77 
33536,2010,CB,75,67 ,59 ,64 ,42 ,77 ,86 
40968,2010,CB,72,73 ,43 ,65 ,52 ,72 ,54 
5655,2010,LW,85,88 ,79 ,74 ,94 ,54 ,56 
31734,2010,CB,76,76 ,45 ,59 ,54 ,76 ,76 
12362,2010,CAM,73,68 ,77 ,75 ,75 ,54 ,56 
2187,2010,RWB,74,69 ,64 ,74 ,65 ,73 ,62 
8662,2010,LM,69,63 ,66 ,68 ,61 ,69 ,67 
20914,2010,CDM,75,66 ,69 ,74 ,61 ,81 ,62 
29471,2010,LB,74,73 ,45 ,75 ,67 ,73 ,66 
17133,2010,CB,74,70 ,43 ,55 ,48 ,76 ,82 
31638,2010,RM,63,62 ,61 ,56 ,62 ,60 ,54 
7170,2010,ST,81,90 ,78 ,60 ,77 ,67 ,78 
28171,2010,CAM,72,76 ,65 ,72 ,77 ,58 ,48 
22072,2010,CAM,67,58 ,66 ,67 ,80 ,55 ,72 
33364,2010,CM,73,79 ,63 ,66 ,73 ,74 ,72 
28792,2010,LW,75,88 ,60 ,74 ,87 ,51 ,51 
5589,2010,CM,78,76 ,62 ,80 ,74 ,79 ,77 
42061,2010,RM,63,83 ,62 ,47 ,77 ,48 ,42 
32339,2010,RWB,79,82 ,66 ,74 ,74 ,75 ,69 
2492,2010,CM,67,70 ,56 ,65 ,70 ,62 ,58 
18586,2010,CM,73,71 ,69 ,76 ,70 ,63 ,52 
23950,2010,CB,67,48 ,56 ,63 ,47 ,71 ,73 
17812,2010,RWB,79,85 ,62 ,78 ,76 ,75 ,66 
35471,2010,ST,66,71 ,66 ,40 ,63 ,45 ,60 
29394,2010,RW,81,85 ,76 ,79 ,83 ,63 ,65 
16504,2010,CM,77,77 ,75 ,72 ,80 ,69 ,64 
33095,2010,CAM,70,73 ,63 ,67 ,72 ,60 ,54 
43572,2010,CB,61,40 ,39 ,57 ,42 ,68 ,69 
34747,2010,LM,81,82 ,84 ,77 ,83 ,58 ,52 
10552,2010,CB,77,70 ,61 ,58 ,68 ,77 ,80 
27336,2010,LWB,76,77 ,54 ,62 ,68 ,75 ,70 
21755,2010,CB,67,64 ,51 ,55 ,44 ,68 ,66 
38063,2010,CB,64,59 ,30 ,50 ,35 ,67 ,62 
3185,2010,CM,75,73 ,62 ,74 ,72 ,76 ,60 
14335,2010,ST,89,92 ,86 ,73 ,85 ,63 ,80 
6199,2010,CM,65,66 ,55 ,64 ,69 ,60 ,62 
43505,2010,RB,59,64 ,46 ,52 ,49 ,56 ,57 
30266,2010,CM,70,69 ,65 ,68 ,73 ,60 ,56 
33708,2010,CB,70,68 ,49 ,56 ,48 ,71 ,66 
27530,2010,RM,67,76 ,64 ,61 ,65 ,55 ,64 
4611,2010,CB,74,68 ,38 ,57 ,40 ,78 ,84 
8477,2010,LB,77,76 ,58 ,73 ,63 ,76 ,69 
20115,2010,LB,71,75 ,45 ,64 ,59 ,70 ,56 
22395,2010,RM,75,83 ,71 ,73 ,79 ,55 ,71 
18191,2010,RB,78,80 ,50 ,72 ,68 ,76 ,77 
21037,2010,ST,60,76 ,57 ,42 ,55 ,39 ,48 
23836,2010,CB,81,80 ,36 ,59 ,61 ,83 ,79 
15905,2010,CDM,74,66 ,74 ,72 ,67 ,73 ,84 
33073,2010,CDM,58,65 ,34 ,57 ,49 ,72 ,75 
34649,2010,CB,65,50 ,37 ,46 ,36 ,70 ,75 
2564,2010,CAM,61,61 ,64 ,62 ,62 ,45 ,54 
35642,2010,CM,74,82 ,60 ,69 ,73 ,72 ,65 
17520,2010,ST,75,79 ,73 ,56 ,70 ,57 ,71 
25681,2010,CDM,61,59 ,57 ,55 ,57 ,66 ,48 
31751,2010,CDM,55,70 ,42 ,45 ,41 ,66 ,48 
24284,2010,CB,67,59 ,37 ,50 ,58 ,70 ,64 
41320,2010,LM,69,71 ,62 ,67 ,65 ,64 ,59 
10873,2010,CB,73,70 ,32 ,50 ,48 ,76 ,82 
14319,2010,CDM,79,74 ,70 ,80 ,73 ,80 ,74 
21830,2010,RWB,70,76 ,66 ,67 ,67 ,65 ,61 
14376,2010,CB,65,53 ,46 ,56 ,44 ,67 ,74 
41845,2010,CB,73,69 ,61 ,58 ,32 ,74 ,72 
16298,2010,CM,81,79 ,83 ,80 ,78 ,75 ,77 
8832,2010,RB,74,64 ,39 ,67 ,50 ,78 ,72 
3662,2010,CM,73,76 ,62 ,66 ,73 ,75 ,68 
8453,2010,ST,67,75 ,61 ,52 ,64 ,50 ,63 
243,2010,CAM,59,65 ,51 ,63 ,64 ,44 ,52 
15034,2010,CB,79,76 ,61 ,67 ,70 ,78 ,78 
23699,2010,ST,54,59 ,49 ,54 ,53 ,56 ,48 
39953,2010,CB,80,72 ,69 ,65 ,60 ,81 ,87 
30685,2010,RM,69,70 ,67 ,64 ,64 ,64 ,66 
6929,2010,RWB,80,85 ,58 ,76 ,80 ,76 ,68 
20847,2010,ST,80,79 ,80 ,51 ,77 ,66 ,90 
38465,2010,ST,65,71 ,64 ,40 ,54 ,56 ,70 
15323,2010,RB,69,76 ,22 ,59 ,49 ,69 ,60 
32965,2010,ST,87,90 ,88 ,65 ,87 ,56 ,69 
20295,2010,CB,66,69 ,36 ,53 ,42 ,65 ,64 
16373,2010,LB,75,68 ,62 ,65 ,62 ,76 ,76 
15778,2010,RB,67,64 ,58 ,61 ,57 ,65 ,72 
9564,2010,ST,59,59 ,60 ,35 ,55 ,46 ,64 
37301,2010,CM,74,85 ,65 ,75 ,80 ,54 ,52 
27538,2010,LB,70,70 ,52 ,67 ,53 ,69 ,68 
19462,2010,CAM,72,72 ,71 ,73 ,74 ,53 ,65 
31500,2010,RWB,72,75 ,41 ,64 ,65 ,71 ,66 
20906,2010,CB,69,68 ,15 ,52 ,49 ,71 ,74 
32521,2010,CB,79,80 ,51 ,71 ,61 ,79 ,76 
870,2010,LM,64,58 ,65 ,70 ,65 ,46 ,56 
28136,2010,ST,63,69 ,59 ,52 ,58 ,48 ,54 
17594,2010,ST,73,74 ,66 ,63 ,73 ,56 ,79 
2811,2010,CB,64,53 ,34 ,52 ,35 ,67 ,74 
12022,2010,CB,78,68 ,31 ,65 ,57 ,83 ,88 
8060,2010,CM,76,77 ,66 ,75 ,71 ,74 ,68 
9215,2010,RM,82,68 ,80 ,91 ,77 ,71 ,54 
23924,2010,CF,84,77 ,79 ,72 ,81 ,75 ,92 
33381,2010,CM,72,72 ,61 ,72 ,70 ,70 ,68 
26437,2010,CM,70,67 ,66 ,64 ,67 ,70 ,72 
39657,2010,CB,66,59 ,38 ,50 ,40 ,70 ,64 
5233,2010,CB,74,64 ,44 ,57 ,41 ,79 ,74 
19558,2010,CB,69,76 ,28 ,45 ,51 ,69 ,70 
22094,2010,CB,84,78 ,48 ,65 ,65 ,85 ,87 
14560,2010,CF,73,79 ,70 ,54 ,75 ,50 ,56 
24762,2010,CDM,66,62 ,53 ,64 ,58 ,77 ,66 
1864,2010,LM,67,75 ,50 ,64 ,68 ,63 ,62 
32207,2010,CB,69,63 ,57 ,62 ,57 ,68 ,74 
6095,2010,LM,67,76 ,58 ,73 ,67 ,45 ,38 
37923,2010,RM,86,72 ,87 ,85 ,86 ,61 ,60 
17699,2010,CB,70,63 ,44 ,52 ,50 ,72 ,76 
14710,2010,RWB,68,76 ,51 ,62 ,71 ,63 ,61 
2257,2010,CB,60,56 ,26 ,39 ,34 ,64 ,68 
35241,2010,CAM,72,76 ,66 ,72 ,75 ,56 ,66 
15079,2010,LB,78,77 ,56 ,71 ,72 ,76 ,72 
38757,2010,LM,73,73 ,65 ,70 ,72 ,71 ,59 
22832,2010,CDM,61,61 ,53 ,59 ,53 ,66 ,68 
10807,2010,LB,68,61 ,72 ,69 ,63 ,66 ,62 
24432,2010,CM,69,69 ,62 ,67 ,66 ,64 ,57 
33994,2010,RM,79,81 ,79 ,77 ,90 ,61 ,56 
21121,2010,LB,75,72 ,53 ,63 ,49 ,77 ,68 
16385,2010,CB,64,60 ,52 ,56 ,45 ,64 ,66 
37808,2010,ST,74,79 ,70 ,56 ,71 ,66 ,77 
25425,2010,CDM,64,67 ,51 ,59 ,60 ,68 ,62 
21118,2010,ST,68,77 ,63 ,46 ,67 ,54 ,66 
6688,2010,RB,66,63 ,49 ,58 ,63 ,64 ,62 
12290,2010,ST,72,81 ,74 ,38 ,65 ,58 ,68 
33902,2010,LM,68,64 ,66 ,66 ,62 ,64 ,62 
10131,2010,CB,75,68 ,51 ,58 ,52 ,77 ,79 
10680,2010,CDM,84,75 ,65 ,84 ,75 ,88 ,60 
3401,2010,RB,70,80 ,48 ,61 ,67 ,65 ,54 
16316,2010,ST,68,71 ,67 ,51 ,67 ,53 ,52 
42558,2010,ST,86,82 ,82 ,69 ,85 ,68 ,89 
42198,2010,CDM,71,73 ,59 ,73 ,49 ,75 ,54 
39739,2010,RM,79,83 ,69 ,78 ,79 ,69 ,70 
27497,2010,CB,72,68 ,36 ,53 ,56 ,74 ,76 
20015,2010,CDM,61,61 ,44 ,61 ,59 ,68 ,58 
3146,2010,CB,61,62 ,43 ,60 ,53 ,60 ,56 
10682,2010,ST,81,76 ,82 ,60 ,77 ,64 ,85 
18139,2010,CM,66,62 ,60 ,66 ,66 ,63 ,55 
20870,2010,CB,64,49 ,32 ,52 ,48 ,68 ,72 
3495,2010,CDM,71,66 ,59 ,72 ,61 ,77 ,70 
29027,2010,CB,69,67 ,40 ,52 ,42 ,70 ,69 
42646,2010,RB,76,77 ,63 ,76 ,70 ,72 ,72 
28544,2010,CM,82,84 ,71 ,79 ,86 ,76 ,62 
18962,2010,CB,73,68 ,39 ,55 ,65 ,75 ,76 
7370,2010,CM,68,72 ,66 ,67 ,74 ,49 ,56 
36616,2010,CDM,67,75 ,45 ,65 ,68 ,66 ,51 
17029,2010,CB,78,74 ,57 ,68 ,40 ,80 ,80 
36318,2010,ST,76,85 ,70 ,57 ,79 ,58 ,60 
25027,2010,CAM,77,76 ,79 ,76 ,80 ,63 ,67 
40027,2010,LB,64,74 ,46 ,64 ,55 ,59 ,52 
4525,2010,CDM,80,73 ,70 ,80 ,76 ,82 ,77 
13002,2010,ST,77,78 ,73 ,62 ,70 ,64 ,85 
38923,2010,CF,89,90 ,90 ,67 ,90 ,57 ,82 
9705,2010,CDM,57,66 ,41 ,56 ,44 ,64 ,44 
36637,2010,ST,70,66 ,67 ,43 ,71 ,64 ,84 
13482,2010,CB,76,65 ,62 ,70 ,66 ,78 ,73 
3954,2010,LM,80,85 ,84 ,78 ,88 ,57 ,61 
18725,2010,CAM,71,85 ,67 ,69 ,81 ,44 ,41 
18432,2010,CM,74,80 ,70 ,74 ,80 ,74 ,65 
11180,2010,ST,75,73 ,75 ,63 ,71 ,57 ,68 
15283,2010,LM,75,83 ,65 ,70 ,81 ,66 ,57 
36928,2010,CM,73,71 ,61 ,74 ,66 ,72 ,64 
22661,2010,LF,78,81 ,76 ,58 ,80 ,57 ,67 
15641,2010,CB,77,72 ,49 ,60 ,46 ,79 ,82 
43298,2010,LB,64,63 ,27 ,51 ,60 ,64 ,70 
27065,2010,CAM,73,74 ,68 ,70 ,70 ,68 ,70 
34337,2010,ST,79,81 ,77 ,68 ,76 ,61 ,68 
21775,2010,CB,71,68 ,17 ,40 ,58 ,74 ,82 
40564,2010,CB,74,62 ,51 ,59 ,26 ,79 ,84 
39435,2010,LW,75,82 ,71 ,74 ,88 ,56 ,24 
28318,2010,CB,74,58 ,32 ,64 ,49 ,81 ,80 
26463,2010,CF,73,79 ,66 ,62 ,67 ,58 ,80 
15234,2010,CB,68,70 ,31 ,50 ,37 ,68 ,81 
41191,2010,CB,78,69 ,48 ,72 ,68 ,80 ,83 
43475,2010,CM,79,78 ,70 ,75 ,76 ,80 ,66 
16718,2010,LB,70,74 ,32 ,65 ,53 ,68 ,70 
25373,2010,CB,66,53 ,39 ,46 ,40 ,71 ,66 
13974,2010,ST,78,84 ,75 ,57 ,73 ,59 ,74 
24492,2010,ST,68,67 ,65 ,59 ,68 ,50 ,64 
43428,2010,CM,80,82 ,67 ,76 ,82 ,80 ,65 
29309,2010,CF,86,91 ,82 ,71 ,88 ,70 ,62 
39716,2010,CDM,73,69 ,60 ,72 ,61 ,81 ,84 
43286,2010,CAM,70,80 ,66 ,67 ,71 ,51 ,46 
32717,2010,CB,74,61 ,46 ,57 ,49 ,79 ,83 
24698,2010,CM,71,64 ,61 ,73 ,58 ,75 ,72 
30012,2010,CM,73,70 ,69 ,71 ,59 ,76 ,74 
8606,2010,CF,77,68 ,79 ,69 ,77 ,64 ,80 
951,2010,ST,67,74 ,64 ,44 ,58 ,60 ,72 
16198,2010,CDM,76,74 ,68 ,74 ,73 ,77 ,64 
41877,2010,CM,71,68 ,66 ,69 ,67 ,68 ,62 
31855,2010,CB,73,65 ,48 ,54 ,42 ,76 ,80 
37671,2010,CF,65,73 ,59 ,60 ,64 ,42 ,51 
1390,2010,CDM,75,78 ,59 ,70 ,75 ,80 ,72 
41196,2010,CM,91,78 ,92 ,92 ,92 ,65 ,65 
2495,2010,RW,73,77 ,65 ,72 ,80 ,55 ,49 
26680,2010,CAM,77,82 ,75 ,79 ,83 ,54 ,48 
33373,2010,ST,66,71 ,61 ,51 ,64 ,52 ,64 
41744,2010,RM,63,74 ,53 ,58 ,65 ,55 ,58 
17670,2010,CF,65,67 ,59 ,56 ,63 ,60 ,72 
18504,2010,CB,73,70 ,41 ,56 ,50 ,74 ,78 
18672,2010,LM,53,63 ,46 ,46 ,55 ,51 ,54 
35275,2010,CAM,74,82 ,73 ,77 ,85 ,51 ,49 
39181,2010,LWB,60,75 ,40 ,53 ,59 ,55 ,56 
1510,2010,CB,84,75 ,50 ,65 ,62 ,86 ,90 
5959,2010,CB,61,58 ,31 ,45 ,38 ,65 ,58 
43508,2010,LW,74,77 ,68 ,59 ,78 ,59 ,70 
5176,2010,?,68,68 ,35 ,41 ,37 ,69 ,82 
