Date,Match,Result,Score,Competition
1940-04-07,Germany v Hungary,D,2-2,International Friendly
1941-04-06,Germany v Hungary,W,7-0,International Friendly
1942-05-03,Hungary v Germany,W,3-5,International Friendly
1954-07-04,Germany v Hungary,W,3-2,FIFA World Cup
1957-12-22,Germany v Hungary,W,1-0,International Friendly
1959-11-08,Hungary v Germany,L,4-3,International Friendly
1970-09-09,Germany v Hungary,W,3-1,International Friendly
1972-03-29,Hungary v Germany,W,0-2,International Friendly
1974-04-17,Germany v Hungary,W,5-0,International Friendly
1985-01-29,Germany v Hungary,L,0-1,International Friendly
1960-08-03,Iceland v Germany,W,0-5,International Friendly
1923-01-01,Italy v Germany,L,3-1,International Friendly
1924-11-23,Germany v Italy,L,0-1,International Friendly
1929-04-28,Italy v Germany,W,1-2,International Friendly
1930-03-02,Germany v Italy,L,0-2,International Friendly
1933-01-01,Italy v Germany,L,3-1,International Friendly
1936-11-15,Germany v Italy,D,2-2,International Friendly
1939-03-26,Italy v Germany,L,3-2,International Friendly
1939-11-26,Germany v Italy,W,5-2,International Friendly
1940-05-05,Italy v Germany,L,3-2,International Friendly
1955-03-30,Germany v Italy,L,1-2,International Friendly
1955-12-18,Italy v Germany,L,2-1,International Friendly
1965-03-13,Germany v Italy,D,1-1,International Friendly
1970-06-17,Germany v Italy,L,3-4,FIFA World Cup
1974-02-26,Italy v Germany,D,0-0,International Friendly
1977-10-08,Germany v Italy,W,2-1,International Friendly
1978-06-14,Germany v Italy,D,0-0,FIFA World Cup
1984-05-22,Italy v Germany,W,0-1,FIFA 80th Birthday
1987-04-18,Germany v Italy,D,0-0,International Friendly
2006-07-04,Germany v Italy,L,0-2,FIFA World Cup
2012-06-28,Germany v Italy,L,1-2,UEFA European Championship
2016-07-02,Germany v Italy,W,1-1,UEFA European Championship
2004-12-16,Japan v Germany,W,0-3,International Friendly
2002-06-25,Korea Republic v Germany,W,0-1,FIFA World Cup
2004-12-19,Korea Republic v Germany,L,3-1,International Friendly
1971-09-08,Germany v Mexico,W,5-0,International Friendly
1977-06-14,Mexico v Germany,D,2-2,International Friendly
1978-06-06,Mexico v Germany,W,0-6,FIFA World Cup
1985-06-15,Mexico v Germany,L,2-0,City Tournament
1993-12-22,Mexico v Germany,D,0-0,International Friendly
1998-06-29,Germany v Mexico,W,2-1,FIFA World Cup
1963-12-29,Morocco v Germany,W,1-4,International Friendly
1967-02-22,Germany v Morocco,W,5-1,International Friendly
1970-06-03,Morocco v Germany,W,1-2,FIFA World Cup
1910-04-24,Netherlands v Germany,L,4-2,International Friendly
1910-10-16,Germany v Netherlands,L,1-2,International Friendly
1912-03-24,Netherlands v Germany,D,5-5,International Friendly
1912-11-17,Germany v Netherlands,L,2-3,International Friendly
1914-04-05,Netherlands v Germany,D,4-4,International Friendly
1923-05-13,Germany v Netherlands,D,0-0,International Friendly
1925-03-29,Netherlands v Germany,L,2-1,International Friendly
1926-10-31,Netherlands v Germany,W,2-3,International Friendly
1931-04-26,Netherlands v Germany,D,1-1,International Friendly
1937-01-31,Germany v Netherlands,D,2-2,International Friendly
1956-03-14,Germany v Netherlands,L,1-2,International Friendly
1959-10-21,Germany v Netherlands,W,7-0,International Friendly
1966-03-23,Netherlands v Germany,W,2-4,International Friendly
1974-07-07,Germany v Netherlands,W,2-1,FIFA World Cup
1975-05-17,Germany v Netherlands,D,1-1,International Friendly
1978-06-18,Germany v Netherlands,D,2-2,FIFA World Cup
1978-12-20,Germany v Netherlands,W,3-1,International Friendly
1980-10-11,Netherlands v Germany,D,1-1,International Friendly
1988-06-21,Germany v Netherlands,L,1-2,UEFA European Championship
1998-11-18,Germany v Netherlands,D,1-1,International Friendly
2004-06-15,Germany v Netherlands,D,1-1,UEFA European Championship
1966-05-07,Northern Ireland v Germany,W,0-2,International Friendly
1977-04-27,Germany v Northern Ireland,W,5-0,International Friendly
1992-06-02,Germany v Northern Ireland,D,1-1,International Friendly
1998-02-18,Oman v Germany,W,0-2,International Friendly
1970-06-10,Peru v Germany,W,1-3,FIFA World Cup
1936-02-27,Portugal v Germany,W,1-3,International Friendly
1954-12-19,Portugal v Germany,W,0-3,International Friendly
1960-04-27,Germany v Portugal,W,2-1,International Friendly
1982-02-17,Germany v Portugal,W,3-1,International Friendly
1984-06-14,Germany v Portugal,D,0-0,UEFA European Championship
2006-07-08,Germany v Portugal,W,3-1,FIFA World Cup
2008-06-19,Germany v Portugal,W,3-2,UEFA European Championship
2014-06-16,Germany v Portugal,W,4-0,FIFA World Cup
1935-05-08,Germany v Republic of Ireland,W,3-1,International Friendly
1939-05-23,Germany v Republic of Ireland,D,1-1,International Friendly
1951-10-17,Republic of Ireland v Germany,L,3-2,International Friendly
1952-05-04,Germany v Republic of Ireland,W,3-0,International Friendly
1955-05-28,Germany v Republic of Ireland,W,2-1,International Friendly
1970-05-09,Germany v Republic of Ireland,W,2-1,International Friendly
1994-05-28,Germany v Republic of Ireland,L,0-2,International Friendly
2002-06-05,Germany v Republic of Ireland,D,1-1,FIFA World Cup
1935-08-25,Germany v Romania,W,4-2,International Friendly
1938-09-25,Romania v Germany,W,1-4,International Friendly
1940-07-14,Germany v Romania,W,9-3,International Friendly
1941-06-01,Romania v Germany,W,1-4,International Friendly
1942-08-16,Germany v Romania,W,7-0,International Friendly
1970-04-08,Germany v Romania,D,1-1,International Friendly
1998-02-22,Saudi Arabia v Germany,W,0-3,International Friendly
1929-06-01,Germany v Scotland,D,1-1,International Friendly
1936-10-14,Scotland v Germany,L,2-0,International Friendly
1957-05-22,Germany v Scotland,L,1-3,International Friendly
1964-05-12,Germany v Scotland,D,2-2,International Friendly
1973-11-14,Scotland v Germany,D,1-1,International Friendly
1974-03-27,Germany v Scotland,W,2-1,International Friendly
1992-06-15,Scotland v Germany,W,0-2,UEFA European Championship
1993-03-24,Scotland v Germany,W,0-1,International Friendly
1939-12-03,Germany v Slovakia,W,3-1,International Friendly
1940-09-15,Slovakia v Germany,W,0-1,International Friendly
1941-12-07,Germany v Slovakia,W,4-0,International Friendly
1942-11-22,Slovakia v Germany,W,2-5,International Friendly
2001-05-29,Germany v Slovakia,W,2-0,International Friendly
1995-12-15,South Africa v Germany,D,0-0,International Friendly
1936-02-23,Spain v Germany,W,1-2,International Friendly
1942-04-12,Germany v Spain,D,1-1,International Friendly
1952-12-28,Spain v Germany,D,2-2,International Friendly
1958-03-19,Germany v Spain,W,2-0,International Friendly
1970-02-11,Spain v Germany,L,2-0,International Friendly
1973-11-24,Germany v Spain,W,2-1,International Friendly
1974-02-23,Spain v Germany,L,1-0,International Friendly
1976-04-24,Spain v Germany,D,1-1,UEFA European Championship
1976-05-22,Germany v Spain,W,2-0,UEFA European Championship
1984-06-20,Germany v Spain,L,0-1,UEFA European Championship
2008-06-29,Germany v Spain,L,0-1,UEFA European Championship
2010-07-07,Germany v Spain,L,0-1,FIFA World Cup
1911-06-18,Sweden v Germany,W,2-4,International Friendly
1923-06-29,Sweden v Germany,L,2-1,International Friendly
1925-06-21,Sweden v Germany,L,1-0,International Friendly
1928-09-30,Sweden v Germany,L,2-0,International Friendly
1929-06-23,Germany v Sweden,W,3-0,International Friendly
1932-09-25,Germany v Sweden,W,4-3,International Friendly
1935-06-30,Sweden v Germany,L,3-1,International Friendly
1937-11-21,Germany v Sweden,W,5-0,FIFA World Cup
1942-09-20,Germany v Sweden,L,2-3,International Friendly
1956-06-30,Sweden v Germany,D,2-2,International Friendly
1957-11-20,Germany v Sweden,W,1-0,International Friendly
1971-06-27,Sweden v Germany,L,1-0,International Friendly
1974-05-01,Germany v Sweden,W,2-0,International Friendly
1974-06-30,Germany v Sweden,W,4-2,FIFA World Cup
1978-04-19,Sweden v Germany,L,3-1,International Friendly
1908-04-05,Switzerland v Germany,L,5-3,International Friendly
1911-03-26,Germany v Switzerland,W,6-2,International Friendly
1913-05-18,Germany v Switzerland,L,1-2,International Friendly
1920-06-27,Switzerland v Germany,L,4-1,International Friendly
1923-06-03,Switzerland v Germany,W,1-2,International Friendly
1924-12-14,Germany v Switzerland,D,1-1,International Friendly
1926-12-12,Germany v Switzerland,L,2-3,International Friendly
1929-02-10,Germany v Switzerland,W,7-1,International Friendly
1932-03-06,Germany v Switzerland,W,2-0,International Friendly
1933-11-19,Switzerland v Germany,W,0-2,International Friendly
1938-02-06,Germany v Switzerland,D,1-1,International Friendly
1938-06-04,Germany v Switzerland,D,1-1,FIFA World Cup
1941-03-09,Germany v Switzerland,W,4-2,International Friendly
1941-04-20,Switzerland v Germany,L,2-1,International Friendly
1942-02-01,Germany v Switzerland,L,1-2,International Friendly
1942-10-18,Switzerland v Germany,W,3-5,International Friendly
1952-11-09,Germany v Switzerland,W,5-1,International Friendly
1954-04-25,Switzerland v Germany,W,3-5,International Friendly
1956-11-21,Germany v Switzerland,L,1-3,International Friendly
1962-12-23,Germany v Switzerland,W,5-1,International Friendly
1965-05-26,Switzerland v Germany,W,0-1,International Friendly
1968-04-17,Switzerland v Germany,D,0-0,International Friendly
1972-11-15,Germany v Switzerland,W,5-1,International Friendly
1974-09-04,Switzerland v Germany,W,1-2,International Friendly
1977-11-16,Germany v Switzerland,W,4-1,International Friendly
1990-12-19,Germany v Switzerland,W,4-0,International Friendly
1995-06-23,Switzerland v Germany,W,1-2,Centenary
1978-06-10,Germany v Tunisia,D,0-0,FIFA World Cup
1951-11-21,Turkey v Germany,W,0-2,International Friendly
1954-06-23,Germany v Turkey,W,7-2,FIFA World Cup
1963-09-28,Germany v Turkey,W,3-0,International Friendly
1966-10-12,Turkey v Germany,W,0-2,International Friendly
1970-10-17,Germany v Turkey,D,1-1,UEFA European Championship
1971-04-25,Turkey v Germany,W,0-3,UEFA European Championship
1975-12-20,Turkey v Germany,W,0-5,International Friendly
1979-04-01,Turkey v Germany,D,0-0,UEFA European Championship
1979-12-22,Germany v Turkey,W,2-0,UEFA European Championship
1992-05-30,Germany v Turkey,W,1-0,International Friendly
2008-06-25,Germany v Turkey,W,3-2,UEFA European Championship
1994-04-27,United Arab Emirates v Germany,W,0-2,International Friendly
2009-06-02,United Arab Emirates v Germany,W,2-7,International Friendly
1962-04-11,Germany v Uruguay,W,3-0,International Friendly
1970-06-20,Uruguay v Germany,W,0-1,FIFA World Cup
1977-06-08,Uruguay v Germany,W,0-2,International Friendly
2010-07-10,Uruguay v Germany,W,2-3,FIFA World Cup
2011-05-29,Germany v Uruguay,W,2-1,International Friendly
1993-12-18,USA v Germany,W,0-3,International Friendly
1999-02-06,USA v Germany,L,3-0,International Friendly
2006-03-22,Germany v USA,W,4-1,International Friendly
1955-08-21,Russia v Germany,L,3-2,International Friendly
1956-09-15,Germany v Russia,L,1-2,International Friendly
1966-07-25,Germany v Russia,W,2-1,FIFA World Cup
1972-05-26,Germany v Russia,W,4-1,International Friendly
1972-06-18,Germany v Russia,W,3-0,UEFA European Championship
1973-09-05,Russia v Germany,W,0-1,International Friendly
1978-03-08,Germany v Russia,W,1-0,International Friendly
1969-03-26,Germany v Wales,D,1-1,International Friendly
1976-10-06,Wales v Germany,W,0-2,International Friendly
1977-12-14,Germany v Wales,D,1-1,International Friendly
1939-02-26,Germany v Yugoslavia,W,3-2,International Friendly
1939-10-15,Yugoslavia v Germany,W,1-5,International Friendly
1940-04-14,Germany v Yugoslavia,L,1-2,International Friendly
1940-11-03,Yugoslavia v Germany,L,2-0,International Friendly
1952-12-21,Germany v Yugoslavia,W,3-2,International Friendly
1959-12-20,Germany v Yugoslavia,D,1-1,International Friendly
1962-09-30,Yugoslavia v Germany,W,2-3,International Friendly
1966-06-23,Germany v Yugoslavia,W,2-0,International Friendly
1967-10-07,Germany v Yugoslavia,W,3-1,UEFA European Championship
1970-05-13,Germany v Yugoslavia,W,1-0,International Friendly
1970-11-18,Yugoslavia v Germany,L,2-0,International Friendly
1973-05-09,Germany v Yugoslavia,L,0-1,International Friendly
1974-06-26,Germany v Yugoslavia,W,2-0,FIFA World Cup
1976-06-17,Yugoslavia v Germany,W,2-4,UEFA European Championship
1977-04-30,Yugoslavia v Germany,W,1-2,International Friendly
1983-06-07,Germany v Yugoslavia,W,4-2,International Friendly
1986-05-11,Germany v Yugoslavia,D,1-1,International Friendly
1988-06-04,Germany v Yugoslavia,D,1-1,International Friendly
1973-01-12,Ghana v Algeria,W,2-0,African Games
1979-11-29,Ghana v China PR,W,2-0,International Friendly
1997-04-03,Ghana v China PR,D,0-0,Nehru Gold Cup
1970-02-09,Ghana v Egypt,D,1-1,Africa Cup of Nations
1973-01-16,Ghana v Egypt,L,1-2,African Games
1971-01-03,Ghana v Germany,D,1-1,A v Amateur
1999-12-14,Greece v Ghana,D,1-1,International Friendly
1963-12-16,Ghana v Hungary,L,1-2,A v OT
1978-05-19,Iran v Ghana,L,3-0,Afro-Asian Cup of Nations
1981-08-22,Iraq v Ghana,L,4-0,*
1997-04-05,Iraq v Ghana,L,1-0,Nehru Gold Cup
1965-11-19,Ivory Coast v Ghana,W,1-4,Africa Cup of Nations
1966-11-01,Ivory Coast v Ghana,D,1-1,International Friendly
1967-02-19,Ghana v Ivory Coast,D,2-2,International Friendly
1968-01-19,Ghana v Ivory Coast,W,4-3,Africa Cup of Nations
1968-05-19,Ghana v Ivory Coast,W,2-1,International Friendly
1970-02-14,Ghana v Ivory Coast,W,2-1,Africa Cup of Nations
1970-04-15,Ghana v Ivory Coast,W,3-0,International Friendly
1970-04-19,Ghana v Ivory Coast,D,1-1,International Friendly
1972-04-19,Ghana v Ivory Coast,L,1-2,International Friendly
1972-04-23,Ghana v Ivory Coast,D,0-0,International Friendly
1973-10-28,Ghana v Ivory Coast,L,0-3,Africa Cup of Nations
1973-11-11,Ivory Coast v Ghana,L,1-0,Africa Cup of Nations
1975-08-06,Ghana v Ivory Coast,W,3-1,International Friendly
1975-08-10,Ghana v Ivory Coast,D,0-0,International Friendly
1976-09-09,Ivory Coast v Ghana,L,3-1,International Friendly
1977-12-16,Ivory Coast v Ghana,L,2-1,International Friendly
1977-12-18,Ivory Coast v Ghana,W,1-2,International Friendly
1978-02-19,Ghana v Ivory Coast,W,3-1,International Friendly
1982-02-15,Ghana v Ivory Coast,D,5-5,West Africa Nations Cup
1984-11-18,Ghana v Ivory Coast,W,2-0,West Africa Nations Cup
1985-08-18,Ivory Coast v Ghana,L,2-0,Africa Cup of Nations
1986-08-02,Ivory Coast v Ghana,L,1-0,CEDEAO Cup
1987-01-31,Ghana v Ivory Coast,W,2-0,West Africa Nations Cup
1987-04-19,Ghana v Ivory Coast,L,1-2,African Games
1987-04-26,Ivory Coast v Ghana,L,1-0,African Games
1992-01-26,Ghana v Ivory Coast,L,0-0,Africa Cup of Nations
1994-04-03,Ivory Coast v Ghana,L,2-1,Africa Cup of Nations
2003-01-26,Ghana v Ivory Coast,D,0-0,African Games
2003-02-23,Ivory Coast v Ghana,D,0-0,African Games
2008-02-09,Ghana v Ivory Coast,W,4-2,Africa Cup of Nations
2010-01-15,Ivory Coast v Ghana,L,3-1,Africa Cup of Nations
2015-02-08,Ivory Coast v Ghana,L,0-0,Africa Cup of Nations
2015-10-16,Ghana v Ivory Coast,W,2-1,International Friendly
2015-10-30,Ivory Coast v Ghana,L,1-0,International Friendly
1999-08-08,Ghana v Jamaica,W,2-1,International Friendly
2006-05-29,Jamaica v Ghana,W,1-4,International Friendly
1994-07-08,Japan v Ghana,L,3-2,Asics Cup
1994-07-14,Japan v Ghana,L,2-1,Asics Cup
2006-10-04,Japan v Ghana,W,0-1,International Friendly
1982-08-17,Korea Republic v Ghana,W,0-1,Merdeka Tournament
1983-09-25,Ghana v Korea Republic,D,1-1,Merdeka Tournament
1993-02-10,Korea Republic v Ghana,L,3-1,International Friendly
2014-06-09,Ghana v Korea Republic,W,4-0,International Friendly
1961-05-28,Morocco v Ghana,L,1-0,FIFA World Cup
1975-06-13,Morocco v Ghana,L,2-0,Africa Cup of Nations
1975-06-29,Ghana v Morocco,W,2-0,Africa Cup of Nations
1980-03-16,Morocco v Ghana,L,1-0,Africa Cup of Nations
2008-01-28,Ghana v Morocco,W,2-0,Africa Cup of Nations
1998-10-13,Netherlands v Ghana,D,0-0,International Friendly
1996-01-05,Saudi Arabia v Ghana,D,1-1,International Friendly
2005-11-14,Saudi Arabia v Ghana,W,1-3,International Friendly
1996-01-31,South Africa v Ghana,L,3-0,Africa Cup of Nations
1996-09-21,South Africa v Ghana,D,0-0,Simba Cup
2002-01-24,Ghana v South Africa,D,0-0,Africa Cup of Nations
1963-11-24,Ghana v Tunisia,D,1-1,Africa Cup of Nations
1978-03-14,Ghana v Tunisia,W,1-0,Africa Cup of Nations
1979-12-27,Ghana v Tunisia,W,4-1,International Friendly
1982-03-12,Tunisia v Ghana,W,0-1,Africa Cup of Nations
1994-01-02,Ghana v Tunisia,D,1-1,International Friendly
1996-01-19,Ghana v Tunisia,W,2-1,Africa Cup of Nations
1999-12-22,Tunisia v Ghana,L,2-0,International Friendly
2000-01-18,Ghana v Tunisia,W,2-0,International Friendly
2003-03-27,Tunisia v Ghana,L,2-2,"Four Nation Tournament, Tunisia"
2006-01-15,Tunisia v Ghana,L,2-0,International Friendly
2012-02-05,Ghana v Tunisia,W,2-1,Africa Cup of Nations
2013-01-13,Ghana v Tunisia,W,4-2,International Friendly
2006-05-26,Turkey v Ghana,D,1-1,International Friendly
2010-06-26,USA v Ghana,W,1-2,FIFA World Cup
1997-04-07,Uzbekistan v Ghana,L,3-2,Nehru Gold Cup
1964-10-25,Zambia v Ghana,W,3-4,Independence Tournament
1978-03-05,Ghana v Zambia,W,2-1,Africa Cup of Nations
1992-01-15,Zambia v Ghana,W,0-1,Africa Cup of Nations
1993-01-15,Ghana v Zambia,W,1-0,International Friendly
1994-08-25,Ghana v Zambia,W,1-0,Tournament Cair
1994-09-25,Zambia v Ghana,L,3-0,International Friendly
1996-02-03,Zambia v Ghana,L,1-0,Africa Cup of Nations
2012-02-08,Zambia v Ghana,L,1-0,Africa Cup of Nations
2015-05-27,Zambia v Ghana,L,3-0,COSAFA Cup
1975-08-26,Algeria v Greece,L,5-0,Mediterranean Games
1970-11-17,Greece v Australia,L,1-3,International Friendly
1978-06-11,Australia v Greece,W,1-2,International Friendly
1978-06-14,Australia v Greece,W,0-1,International Friendly
1978-06-17,Australia v Greece,D,1-1,International Friendly
1976-11-10,Greece v Austria,L,0-3,International Friendly
1977-03-09,Austria v Greece,L,2-0,International Friendly
1978-02-15,Greece v Austria,D,1-1,International Friendly
1974-04-28,Brazil v Greece,D,0-0,International Friendly
1971-04-07,Greece v Bulgaria,L,0-1,International Friendly
1971-11-17,Bulgaria v Greece,D,2-2,International Friendly
1973-01-31,Greece v Bulgaria,D,2-2,International Friendly
1974-02-13,Greece v Bulgaria,W,1-0,*
1974-10-13,Bulgaria v Greece,D,3-3,UEFA European Championship
1974-12-18,Greece v Bulgaria,W,2-1,UEFA European Championship
1977-10-26,Bulgaria v Greece,D,0-0,Balkan Cup
2014-06-29,Costa Rica v Greece,L,1-1,FIFA World Cup
1977-03-23,Czech Republic v Greece,L,4-0,International Friendly
1978-03-22,Greece v Czech Republic,L,0-1,International Friendly
1971-09-30,Egypt v Greece,D,0-0,Mediterranean Games
1999-08-20,Greece v El Salvador,W,3-0,International Friendly
1971-04-21,England v Greece,L,3-0,UEFA European Championship
1971-12-01,Greece v England,L,0-2,UEFA European Championship
1978-05-24,Finland v Greece,L,3-0,UEFA European Championship
1955-03-15,France v Greece,L,1-0,Mediterranean Cup
1971-10-14,France v Greece,L,3-1,Mediterranean Games
1972-09-02,Greece v France,L,1-3,International Friendly
1973-09-08,France v Greece,L,3-1,International Friendly
1975-09-02,France v Greece,L,2-1,Mediterranean Games
1970-11-22,Greece v Germany,L,1-3,International Friendly
1974-11-20,Greece v Germany,D,2-2,UEFA European Championship
1975-10-11,Germany v Greece,D,1-1,UEFA European Championship
1931-12-13,Greece v Hungary,L,2-4,A v B
1938-03-25,Hungary v Greece,L,11-1,FIFA World Cup
1976-10-09,Greece v Hungary,D,1-1,FIFA World Cup
1977-05-28,Hungary v Greece,L,3-0,FIFA World Cup
1978-10-29,Greece v Hungary,W,4-1,UEFA European Championship
1983-12-03,Greece v Hungary,D,2-2,UEFA European Championship
1988-11-15,Greece v Hungary,W,3-0,International Friendly
2008-05-24,Hungary v Greece,L,3-2,International Friendly
1992-05-13,Greece v Iceland,W,1-0,FIFA World Cup
1953-11-01,Greece v Israel,W,1-0,FIFA World Cup
1976-09-22,Greece v Israel,L,0-1,International Friendly
1977-01-26,Israel v Greece,D,1-1,International Friendly
1985-01-09,Israel v Greece,W,0-2,International Friendly
1949-05-25,Greece v Italy,L,2-3,Mediterranean Cup
1951-04-08,Italy v Greece,L,3-0,Mediterranean Cup
1955-05-29,Greece v Italy,D,0-0,Mediterranean Cup
1956-04-22,Italy v Greece,L,7-1,Mediterranean Cup
1957-10-05,Greece v Italy,W,2-1,Mediterranean Cup
1972-03-04,Greece v Italy,W,2-1,International Friendly
1975-12-30,Italy v Greece,L,3-2,International Friendly
1980-12-06,Greece v Italy,L,0-2,FIFA World Cup
1981-11-14,Italy v Greece,D,1-1,FIFA World Cup
1986-10-08,Italy v Greece,L,2-0,International Friendly
1971-07-06,Mexico v Greece,D,1-1,International Friendly
1971-09-30,Greece v Mexico,L,0-1,International Friendly
1999-08-16,Greece v Mexico,W,3-2,International Friendly
1971-09-30,Morocco v Greece,L,1-0,Mediterranean Games
1979-09-20,Morocco v Greece,D,1-1,Mediterranean Games
1983-09-09,Morocco v Greece,D,0-0,Mediterranean Games
1972-02-16,Greece v Netherlands,L,0-5,International Friendly
1990-11-21,Netherlands v Greece,L,2-0,UEFA European Championship
1991-12-04,Greece v Netherlands,L,0-2,UEFA European Championship
1961-10-17,Northern Ireland v Greece,L,2-0,FIFA World Cup
1938-01-22,Palestine v Greece,W,1-3,FIFA World Cup
1938-02-20,Greece v Palestine,W,1-0,FIFA World Cup
2010-06-02,Greece v Paraguay,L,0-2,International Friendly
1982-01-20,Greece v Portugal,L,1-2,International Friendly
1987-01-07,Portugal v Greece,D,1-1,International Friendly
1989-01-25,Greece v Portugal,L,1-2,International Friendly
1991-01-23,Greece v Portugal,W,3-2,UEFA European Championship
1997-02-19,Greece v Portugal,D,0-0,International Friendly
1932-06-28,Romania v Greece,L,3-0,Balkan Cup
1933-06-06,Romania v Greece,L,1-0,Balkan Cup
1934-12-27,Greece v Romania,D,2-2,Balkan Cup
1957-11-03,Romania v Greece,L,3-0,FIFA World Cup
1967-03-08,Greece v Romania,L,1-2,International Friendly
1969-11-16,Romania v Greece,D,1-1,FIFA World Cup
1974-05-29,Romania v Greece,L,3-1,Balkan Cup
1975-09-24,Greece v Romania,D,1-1,Balkan Cup
1977-09-21,Romania v Greece,L,6-1,International Friendly
1979-03-21,Romania v Greece,L,3-0,International Friendly
1983-02-02,Greece v Romania,L,1-3,International Friendly
1987-03-11,Greece v Romania,D,1-1,International Friendly
1987-10-07,Romania v Greece,D,2-2,International Friendly
1998-04-08,Romania v Greece,L,2-1,International Friendly
1994-12-18,Greece v Scotland,W,1-0,UEFA European Championship
1970-10-28,Spain v Greece,L,2-1,International Friendly
1972-04-12,Greece v Spain,D,0-0,International Friendly
1973-01-17,Greece v Spain,L,2-3,FIFA World Cup
1973-02-21,Spain v Greece,L,3-1,FIFA World Cup
2004-06-16,Greece v Spain,D,1-1,UEFA European Championship
1986-05-01,Sweden v Greece,D,0-0,International Friendly
2008-06-10,Greece v Sweden,L,0-2,UEFA European Championship
1968-10-12,Switzerland v Greece,L,1-0,FIFA World Cup
1970-12-15,Greece v Switzerland,L,0-1,UEFA European Championship
1971-05-12,Switzerland v Greece,L,1-0,UEFA European Championship
1980-04-01,Switzerland v Greece,L,2-0,International Friendly
1982-12-01,Greece v Switzerland,L,1-3,International Friendly
1995-03-08,Greece v Switzerland,D,1-1,International Friendly
1948-04-23,Greece v Turkey,L,1-3,International Friendly
1948-11-27,Turkey v Greece,L,2-1,International Friendly
1949-05-16,Greece v Turkey,L,1-2,Mediterranean Cup
1952-02-29,Greece v Turkey,W,3-1,Mediterranean Cup
1952-05-16,Turkey v Greece,W,0-1,Mediterranean Cup
1987-09-24,Turkey v Greece,L,1-0,Mediterranean Games
1989-03-29,Greece v Turkey,L,0-1,International Friendly
1965-05-23,Russia v Greece,L,3-1,FIFA World Cup
1965-10-03,Greece v Russia,L,1-4,FIFA World Cup
1967-07-16,Russia v Greece,L,4-0,UEFA European Championship
1967-10-31,Greece v Russia,L,0-1,UEFA European Championship
1977-04-24,Russia v Greece,L,2-0,FIFA World Cup
1977-05-10,Greece v Russia,W,1-0,FIFA World Cup
1982-03-10,Greece v Russia,L,0-2,International Friendly
1965-03-17,Wales v Greece,L,4-1,FIFA World Cup
1930-01-26,Greece v Yugoslavia,W,2-1,Balkan Cup
1933-06-03,Greece v Yugoslavia,L,3-5,Balkan Cup
1934-12-23,Greece v Yugoslavia,W,2-1,Balkan Cup
1935-06-20,Greece v Yugoslavia,L,1-6,Balkan Cup
1953-05-09,Yugoslavia v Greece,L,1-0,FIFA World Cup
1954-03-28,Greece v Yugoslavia,L,0-1,FIFA World Cup
1957-11-10,Yugoslavia v Greece,L,4-1,FIFA World Cup
1971-10-08,Yugoslavia v Greece,L,6-1,Mediterranean Games
1972-11-19,Yugoslavia v Greece,L,1-0,FIFA World Cup
1973-12-19,Greece v Yugoslavia,L,2-4,FIFA World Cup
1976-06-30,Yugoslavia v Greece,L,1-0,Balkan Cup
1977-11-16,Greece v Yugoslavia,D,0-0,Balkan Cup
1989-04-05,Greece v Yugoslavia,L,1-4,International Friendly
2000-12-13,Greece v Yugoslavia,D,1-1,International Friendly
1972-09-02,Guatemala v Canada,D,2-2,International Friendly
1977-10-16,Canada v Guatemala,L,2-1,FIFA World Cup
1930-03-17,Costa Rica v Guatemala,L,8-1,Central American and Caribbean Games
1943-12-07,Costa Rica v Guatemala,W,2-3,CCCF Championship
1943-12-16,Costa Rica v Guatemala,W,2-4,CCCF Championship
1946-03-10,Costa Rica v Guatemala,W,1-4,CCCF Championship
1946-12-16,Costa Rica v Guatemala,L,6-0,CACG IV/BOL II
1948-03-03,Guatemala v Costa Rica,D,1-1,CCCF Championship
1948-03-17,Guatemala v Costa Rica,W,3-2,CCCF Championship
1955-07-24,Costa Rica v Guatemala,L,9-1,International Friendly
1955-07-31,Guatemala v Costa Rica,W,3-1,International Friendly
1957-02-10,Guatemala v Costa Rica,L,2-6,FIFA World Cup
1957-02-17,Costa Rica v Guatemala,L,3-1,FIFA World Cup
1960-08-21,Costa Rica v Guatemala,L,3-2,FIFA World Cup
1960-08-28,Guatemala v Costa Rica,D,4-4,FIFA World Cup
1961-03-14,Costa Rica v Guatemala,L,4-2,CCCF Championship
1965-04-01,Guatemala v Costa Rica,D,0-0,CONCACAF Championship
1969-12-07,Costa Rica v Guatemala,D,1-1,CONCACAF Championship
1971-05-16,Costa Rica v Guatemala,W,0-1,International Friendly
1972-10-15,Guatemala v Costa Rica,D,0-0,A v B
1972-11-12,Costa Rica v Guatemala,D,1-1,International Friendly
1976-06-30,Guatemala v Costa Rica,L,0-1,International Friendly
1976-12-05,Costa Rica v Guatemala,D,0-0,FIFA World Cup
1976-12-12,Guatemala v Costa Rica,D,1-1,FIFA World Cup
1980-05-29,Costa Rica v Guatemala,L,2-1,International Friendly
1980-10-12,Guatemala v Costa Rica,D,0-0,FIFA World Cup
1980-11-26,Costa Rica v Guatemala,W,0-3,FIFA World Cup
1985-03-06,Costa Rica v Guatemala,L,2-0,International Friendly
1988-03-02,Costa Rica v Guatemala,L,2-1,International Friendly
1989-02-23,Guatemala v Costa Rica,W,3-2,LA Cup
1989-04-02,Costa Rica v Guatemala,L,2-1,FIFA World Cup
